2020-10-09 01:15:46,Skyrider Sword,Weapon
2020-10-09 01:14:45,Fischl (4-Star),Character
2020-10-09 00:14:22,Harbinger of Dawn,Weapon
2020-10-09 00:14:09,Cool Steel,Weapon
2020-10-08 22:06:54,Magic Guide,Weapon
2020-10-08 22:06:43,Raven Bow,Weapon
2020-10-08 22:06:33,Black Tassel,Weapon
2020-10-08 22:06:21,Bloodtainted Greatsword,Weapon
2020-10-08 22:06:10,Skyrider Sword,Weapon
2020-10-08 22:05:00,Harbinger of Dawn,Weapon
2020-10-08 22:00:07,Sacrificial Greatsword (4-Star),Weapon
2020-10-08 08:10:21,Harbinger of Dawn,Weapon
2020-10-08 08:10:13,Magic Guide,Weapon
2020-10-07 09:33:39,Sharpshooter's Oath,Weapon
2020-10-07 09:33:26,Sharpshooter's Oath,Weapon
2020-10-07 09:33:13,Slingshot,Weapon
2020-10-06 23:53:17,Black Tassel,Weapon
2020-10-06 17:17:57,Black Tassel,Weapon
2020-10-06 01:12:47,Harbinger of Dawn,Weapon
2020-10-06 01:11:48,Ningguang (4-Star),Character
2020-10-06 01:11:31,Thrilling Tales of Dragon Slayers,Weapon
2020-10-06 00:57:54,Slingshot,Weapon
2020-10-05 08:47:25,Raven Bow,Weapon
2020-10-04 12:10:35,Magic Guide,Weapon
2020-10-03 23:47:14,Skyrider Sword,Weapon
2020-10-03 23:46:59,Harbinger of Dawn,Weapon
2020-10-03 23:46:47,Skyrider Sword,Weapon
2020-10-03 09:19:51,Bloodtainted Greatsword,Weapon
2020-10-03 09:19:37,Harbinger of Dawn,Weapon
2020-10-02 10:35:04,Favonius Codex (4-Star),Weapon
2020-10-02 10:34:58,Emerald Orb,Weapon
2020-10-02 10:34:48,Raven Bow,Weapon
2020-10-02 10:34:39,Emerald Orb,Weapon
2020-10-02 10:34:30,Sharpshooter's Oath,Weapon
2020-10-02 10:34:22,Sharpshooter's Oath,Weapon
2020-10-02 10:32:09,Thrilling Tales of Dragon Slayers,Weapon
2020-10-01 22:04:31,Bloodtainted Greatsword,Weapon
2020-10-01 22:04:17,Debate Club,Weapon
2020-10-01 22:04:05,Slingshot,Weapon
